iter	Passed	Remaining
1150	25731	86047
1151	25751	86018
1152	25773	85992
1153	25795	85969
1154	25818	85950
1155	25840	85926
1156	25862	85904
1157	25883	85877
1158	25905	85851
1159	25927	85827
1160	25948	85802
1161	25969	85775
1162	25993	85758
1163	26015	85734
1164	26038	85713
1165	26060	85689
1166	26082	85666
1167	26103	85641
1168	26124	85614
1169	26154	85617
1170	26175	85590
1171	26197	85566
1172	26218	85540
1173	26240	85515
1174	26264	85498
1175	26286	85474
1176	26308	85453
1177	26331	85432
1178	26354	85411
1179	26376	85386
1180	26398	85363
1181	26420	85340
1182	26442	85317
1183	26464	85293
1184	26486	85272
1185	26508	85248
1186	26531	85227
1187	26553	85204
1188	26574	85177
1189	26595	85150
1190	26616	85122
1191	26638	85098
1192	26660	85077
1193	26682	85053
1194	26704	85028
1195	26726	85005
1196	26747	84978
1197	26769	84956
1198	26791	84934
1199	26813	84909
1200	26836	84887
1201	26859	84867
1202	26881	84845
1203	26902	84819
1204	26925	84798
1205	26947	84774
1206	26968	84749
1207	26991	84729
1208	27013	84706
1209	27037	84688
1210	27059	84662
1211	27081	84641
1212	27103	84616
1213	27124	84592
1214	27156	84597
1215	27178	84574
1216	27200	84551
1217	27222	84528
1218	27244	84505
1219	27268	84486
1220	27293	84472
1221	27314	84446
1222	27334	84417
1223	27355	84389
1224	27375	84359
1225	27395	84332
1226	27416	84306
1227	27437	84279
1228	27459	84254
1229	27481	84233
1230	27504	84211
1231	27527	84189
1232	27548	84165
1233	27570	84140
1234	27591	84114
1235	27612	84088
1236	27635	84069
1237	27657	84045
1238	27678	84019
1239	27699	83990
1240	27720	83966
1241	27742	83942
1242	27764	83918
1243	27786	83894
1244	27808	83871
1245	27830	83849
1246	27854	83830
1247	27875	83806
1248	27896	83779
1249	27918	83755
1250	27941	83735
1251	27963	83712
1252	27986	83692
1253	28008	83667
1254	28030	83644
1255	28053	83625
1256	28077	83606
1257	28099	83583
1258	28120	83558
1259	28142	83534
1260	28176	83547
